Product Name,Image Link,Price,Rating,Description,Review Title,Review
"Godrej Interio Slimline Blend Metal 3 Door Almirah  (Finish Color - Textured Purple, Mirror Included, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/c/p/7/-original-imagyzw3trhhhzz4.jpeg?q=70&crop=false,45560.0,3.9,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Worth every penny,"It finishing is good,Locks are smooth.Serves the purpose well."
"S . K Store Carbon Steel Collapsible Wardrobe  (Finish Color - Black, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/kyg5zm80/collapsible-wardrobe/o/g/k/300-carbon-steel-600-1-5-6-layer-black-w-d-01-s-k-store-1080-original-imagazeypeutmdpe.jpeg?q=70&crop=false,489.0,3.5,"Smart , compact neat and intelligently designed shoe rack to extend maximum utalization of the space occupied. Made up of carbon steel offering maximum durability with non woven fabric outer coveringcomes up with 4 and 7 layers with maximum capacity of 12-21 shoes can be fixed perfectly.Easy to fold and store . Light weight and portable. comes up in attractive colours to match your home shades",Wonderful,Awesome 👍
"Godrej Interio Slimline 2 Door 4 Shelf Metal Almirah  (Finish Color - Body & Door: Royal Ivory, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/z/g/d/-original-imagyzw3sfpfqg4g.jpeg?q=70&crop=false,19860.0,4.3,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Great product,Perfect Almira. Delivery was horrible..took 90+ days to deliver.Installation was super fast though. Delivery was through the seller
"Godrej Interio Slimline 2 Door With Locker Metal Almirah  (Finish Color - Body: Royal Ivory, Door: Textured Purple, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/s/c/e/-original-imagyzw2qyardzfx.jpeg?q=70&crop=false,24750.0,4.2,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Perfect product!,"awesome delivery, awesome installation and awesome product :)"
"Cello Novelty Big Storage Cupboard Plastic Cupboard  (Finish Color - Grey & Blue, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/klphn680/cabinet-drawer/b/m/x/pp-novelty-big-cello-blue-grey-4-original-imagyrq6zzgakztr.jpeg?q=70&crop=false,4399.0,4,"The features of this Medium Multipurpose cabinet are:It has a multi -Purpose storage solutionIt is compact , strong and sturdy.It can be easily assembled and dissembled.Due to its light weight it is easily portable.Requires minimum maintenance.Three shelves for convenient storage. Shelves height adjustable according to needs.",Perfect product!,good product wroth for the money spent
"Godrej Interio Slimline With Locker 2 Door Metal Almirah  (Finish Color - Body: Royal Ivory, Door: Textured Sea Pine, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/5/2/v/-original-imagyzw2qyhtsnzu.jpeg?q=70&crop=false,21950.0,4.2,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Fabulous!,"Amazing Product , loved it.."
"Cello Cello Novelty Triplex - Ice Brown Plastic Cupboard  (Finish Color - Ice Brown, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/v/5/b/-original-imagqctdyvbetn2z.jpeg?q=70&crop=false,5299.0,4,"This storage cabinet is sure to become a must have for the kids. You can store within toys, books or even clothes within this storage cabinet. Its towering structure is sure to add a touch of colour to any wall area making this modern cabinet a must have. It comes with five drawers and ample storage space within to store in all the essentials. Adjustable 5 shelfs. Easy to clean. Can be moved easily with ample storage space within to store in all the essentials.",Worth every penny,"Good quality,liked it"
"Godrej Interio Neolite Metal Almirah  (Finish Color - Denim Blue, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/o/e/c/-original-imagyzwfzz7zugg3.jpeg?q=70&crop=false,30890.0,3.9,"The Godrej Interio Neolite Metal Almirah transcends the concept of mere storage and becomes a statement of elegance and efficiency. With its versatile vertical and horizontal storage, welded knock-down construction, convenient hanging rod and locker, slam-shut locking mechanism, and leveler support, this almirah is more than just furniture – it's a lifestyle upgrade. Elevate your organization game and transform your space with the Neolite Metal Almirah, where style and function come together in perfect harmony. Choose Godrej Interio, and experience a new era of storage that's tailored to your needs and designed for the modern world.",Very poor,Cheap product and bakwas... Not worthy
"GTC 88130 Storage Organizer Shelves for Clothes Racks Non Woven Fabric Almirah Metal 3 Door Wardrobe  (Finish Color - Blue, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/xif0q/collapsible-wardrobe/m/q/a/42-5-pp-126-2-9-88130-blue-ms-modstyle-blue-116-original-imagmufztsjrbsg2.jpeg?q=70&crop=false,1649.0,3.8,"Made from selected Non Woven cloth cover, high quality Non rustable iron pipe and PP Plastic Connectors, this portable storage closet will meet your long term storage needs. Beautifully designed and innovatively crafted modern design. With Movable clothes hanging rod and 8 storage shelves offers you enough space both for your longer outfits and folded clothes Made from strong and durable material. Portable & light weight easy to carry and put any where. Durable, Portable, Sophisticated and Stylish Design. For those who love organized living.",Does the job,Product was below expectation
"FurniGully 6 + 2 Shelf 3 Door 88130 (Finish Color -Red Do-It-Yourself) Carbon Steel Collapsible Wardrobe  (Finish Color - BROWN, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/kajywsw0/collapsible-wardrobe/h/z/u/carbon-steel-88130-new-1-vipash-brown-original-imafs3ytmyg7rgsn.jpeg?q=70&crop=false,889.0,3.6,"HEAVEN portable wardrobe GOOD TO LOOK at and awesome for its functionality, Whether you are looking for wooden furniture for your living room or a new set of swings for your outdoors, you will find hundreds of options across a wide price range.MATERIAL: Fabric, Apart from furniture, they also serve your basic home furnishing, decor and kitchen needs.CONVENIENT TO USE AND ASSEMBLE: This amazing closet makes your clothes or daily accessories easy to access. STURBY & DURABLE Almirah made from Non-woven fabric cover, water-proof fabric tiers, high quality Electrophoretic steel tube and PP Plastic Connectors, Beautifully designed and indicatively crafted modern design",Expected a better product,I am not satisfied west of money
